,date,age,signs_of_mental_illness,body_camera,killed_unarmed,manner_of_death_shot,manner_of_death_shot and Tasered,gender_F,gender_M,race_Asian,race_Black,race_Hispanic,race_Native,race_Other,race_White,threat_level_attack,threat_level_other,threat_level_undetermined,flee_Car,flee_Foot,flee_Not fleeing,flee_Other
152,1425168000000000000,35.0,False,False,False,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
153,1425168000000000000,49.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
154,1425168000000000000,43.0,True,True,True,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
155,1425254400000000000,20.0,False,False,False,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
156,1425340800000000000,25.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
157,1425340800000000000,25.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
158,1425427200000000000,26.0,False,False,True,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
159,1425427200000000000,28.0,False,False,False,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
160,1425513600000000000,45.0,True,False,False,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
161,1425513600000000000,36.0,False,False,True,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
162,1425513600000000000,34.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
163,1425600000000000000,19.0,False,False,True,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
164,1425600000000000000,37.0,False,False,True,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
165,1425600000000000000,48.0,False,False,False,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
166,1425686400000000000,29.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
167,1425772800000000000,43.0,True,True,False,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
168,1425772800000000000,40.0,False,False,False,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
169,1425772800000000000,35.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
170,1425859200000000000,27.0,True,False,True,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
171,1425859200000000000,58.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
